ID_HEXAGONO;MODO;HORA;OPERACIONES
13630944;BUS;21;1
13630944;BUS;22;2
13630947;BUS;5;5
13630947;BUS;6;7
13630947;BUS;7;3
13630947;BUS;8;2
13630947;BUS;9;4
13630947;BUS;10;3
13630947;BUS;11;3
13630947;BUS;12;7
13630947;BUS;13;2
13630947;BUS;14;4
13630947;BUS;15;6
13630947;BUS;16;6
13630947;BUS;17;15
13630947;BUS;20;6
13630947;BUS;21;3
13630947;BUS;22;2
13630984;BUS;6;1
13630984;BUS;10;1
13630984;BUS;16;1
13631022;BUS;0;1
13631022;BUS;1;1
13631022;BUS;3;3
13631022;BUS;4;11
13631022;BUS;5;16
13631022;BUS;6;37
13631022;BUS;7;38
13631022;BUS;8;42
13631022;BUS;9;11
13631022;BUS;10;12
13631022;BUS;11;10
13631022;BUS;12;17
13631022;BUS;13;18
13631022;BUS;14;24
13631022;BUS;15;9
13631022;BUS;16;18
13631022;BUS;17;12
13631022;BUS;18;17
13631022;BUS;19;11
13631022;BUS;20;3
13631022;BUS;21;4
13631022;BUS;22;1
13631022;BUS;23;1
13631023;BUS;4;1
13631023;BUS;6;15
13631023;BUS;16;1
13631023;BUS;17;12
13631023;BUS;19;1
13637109;BUS;5;1
13637109;BUS;6;6
13637109;BUS;7;8
13637109;BUS;8;4
13637109;BUS;9;3
13637109;BUS;10;5
13637109;BUS;11;6
13637109;BUS;12;7
13637109;BUS;13;12
13637109;BUS;14;7
13637109;BUS;15;11
13637109;BUS;16;5
13637109;BUS;17;12
13637109;BUS;18;11
13637109;BUS;19;9
13637109;BUS;20;5
13637109;BUS;21;7
13637109;BUS;22;4
13637110;BUS;5;2
13637111;BUS;5;3
13637111;BUS;6;12
13637111;BUS;8;3
13637111;BUS;11;2
13637111;BUS;12;2
13637111;BUS;15;15
13637111;BUS;18;4
13637111;BUS;19;4
13637112;BUS;7;2
13637112;BUS;10;5
13637112;BUS;11;5
13637112;BUS;12;1
13637112;BUS;13;5
13637112;BUS;15;4
13637112;BUS;17;6
13637112;BUS;18;8
13637112;BUS;20;8
13637112;BUS;21;7
13637147;BUS;20;5
13637148;BUS;4;4
13637148;BUS;5;10
13637148;BUS;6;30
13637148;BUS;7;16
13637148;BUS;8;21
13637148;BUS;9;26
13637148;BUS;10;27
13637148;BUS;11;21
13637148;BUS;12;33
13637148;BUS;13;25
13637148;BUS;14;29
13637148;BUS;15;20
13637148;BUS;16;36
13637148;BUS;17;22
13637148;BUS;18;28
13637148;BUS;19;19
13637148;BUS;20;14
13637148;BUS;21;13
13637148;BUS;22;12
13637148;BUS;23;2
13637185;BUS;0;1
13637185;BUS;2;1
13637185;BUS;4;4
13637185;BUS;5;14
13637185;BUS;6;22
13637185;BUS;7;12
13637185;BUS;8;20
13637185;BUS;9;20
13637185;BUS;10;26
13637185;BUS;11;30
13637185;BUS;12;36
13637185;BUS;13;39
13637185;BUS;14;44
13637185;BUS;15;42
13637185;BUS;16;31
13637185;BUS;17;9
13637185;BUS;18;30
13637185;BUS;19;22
13637185;BUS;20;8
13637185;BUS;21;11
13637185;BUS;22;4
13637185;BUS;23;2
13637186;BUS;0;1
13637186;BUS;2;1
13637186;BUS;4;9
13637186;BUS;5;6
13637186;BUS;6;15
13637186;BUS;7;10
13637186;BUS;8;20
13637186;BUS;9;15
13637186;BUS;10;21
13637186;BUS;11;36
13637186;BUS;12;16
13637186;BUS;13;20
13637186;BUS;14;18
13637186;BUS;15;21
13637186;BUS;16;12
13637186;BUS;17;11
13637186;BUS;18;22
13637186;BUS;19;14
13637186;BUS;20;7
13637186;BUS;21;13
13637186;BUS;22;2
13637187;BUS;4;2
13637187;BUS;5;2
13637187;BUS;6;5
13637187;BUS;7;7
13637187;BUS;8;7
13637187;BUS;9;5
13637187;BUS;10;1
13637187;BUS;11;4
13637187;BUS;12;7
13637187;BUS;13;9
13637187;BUS;14;4
13637187;BUS;15;9
13637187;BUS;16;9
13637187;BUS;17;4
13637187;BUS;18;7
13637187;BUS;19;11
13637187;BUS;20;13
13637187;BUS;21;19
13637187;BUS;22;1
13643275;BUS;5;4
13643275;BUS;6;13
13643275;BUS;7;3
13643275;BUS;8;4
13643275;BUS;9;3
13643275;BUS;10;4
13643275;BUS;11;2
13643275;BUS;12;3
13643275;BUS;13;2
13643275;BUS;14;1
13643275;BUS;15;2
13643275;BUS;16;4
13643275;BUS;17;7
13643275;BUS;18;4
13643275;BUS;19;3
13643275;BUS;20;5
13643275;BUS;21;7
13643275;BUS;22;2
13643309;BUS;6;1
13643310;BUS;6;2
13643310;BUS;7;3
13643311;BUS;6;1
13643311;BUS;7;1
13643311;BUS;19;1
13643312;BUS;4;4
13643312;BUS;5;6
13643312;BUS;6;3
13643312;BUS;7;1
13643312;BUS;8;6
13643312;BUS;9;5
13643312;BUS;10;2
13643312;BUS;11;3
13643312;BUS;12;3
13643312;BUS;13;4
13643312;BUS;14;1
13643312;BUS;16;3
13643312;BUS;17;3
13643312;BUS;18;1
13643312;BUS;19;3
13643312;BUS;20;1
13643312;BUS;21;1
13643312;BUS;23;6
13643347;BUS;1;2
13643347;BUS;6;4
13643347;BUS;7;6
13643347;BUS;8;8
13643347;BUS;9;6
13643347;BUS;10;6
13643347;BUS;11;2
13643347;BUS;12;7
13643347;BUS;13;5
13643347;BUS;14;1
13643347;BUS;15;9
13643347;BUS;16;12
13643347;BUS;17;5
13643347;BUS;18;8
13643347;BUS;19;4
13643347;BUS;20;3
13643347;BUS;21;5
13643347;BUS;22;6
13643348;BUS;2;1
13643348;BUS;4;3
13643348;BUS;5;12
13643348;BUS;6;14
13643348;BUS;7;19
13643348;BUS;8;16
13643348;BUS;9;11
13643348;BUS;10;8
13643348;BUS;11;12
13643348;BUS;12;5
13643348;BUS;13;20
13643348;BUS;14;30
13643348;BUS;15;10
13643348;BUS;16;19
13643348;BUS;17;8
13643348;BUS;18;8
13643348;BUS;19;10
13643348;BUS;20;2
13643348;BUS;21;15
13643348;BUS;22;4
13643349;BUS;4;1
13643349;BUS;5;4
13643349;BUS;6;7
13643349;BUS;7;5
13643349;BUS;8;5
13643349;BUS;9;5
13643349;BUS;10;3
13643349;BUS;11;3
